"","time","open","high","low","close","volume","amount","trades","volumsOFbuy","amountOFbuy","changeDir","fluct_pct"
"591",2019-08-15,10055.16,10460,9911,10293.93,38174.45112,387705855.087911,373368,19588.082918,199059445.604256,"up",5.54
"592",2019-08-16,10296.77,10536.03,9750,10331.54,51758.142918,527258446.397777,504740,25818.031537,263301246.898492,"up",8.06
"593",2019-08-17,10331.15,10465.14,10000,10216.02,29000.581201,297776329.030582,332795,14672.94974,150792759.345233,"down",4.65
"594",2019-08-18,10216.05,10500,10080,10306.78,24085.395172,248508872.459986,265705,12961.478557,133774771.716968,"up",4.17
"595",2019-08-19,10306.17,10930,10258.6,10915.54,37243.319217,396233441.02746,337022,20591.436572,219085855.344581,"up",6.54
"596",2019-08-20,10914.73,10949.96,10560,10760.51,32298.921679,346664453.136727,305065,16017.544729,172082522.178927,"down",3.69
"597",2019-08-21,10760.51,10804.13,9858,10142.57,47355.719282,482889274.517917,458814,21565.830561,219533134.865281,"down",9.6
"598",2019-08-22,10140.82,10242,9762,10099.88,34059.642738,341371442.906839,401148,17921.9543,179746967.235214,"down",4.92
"599",2019-08-23,10099.9,10445,10019.79,10389.55,27550.336173,282732431.752072,326866,14798.816338,151926638.080276,"up",4.24
"600",2019-08-24,10388.16,10419.42,9890,10134.35,27692.456844,279962133.62571,313227,13623.564841,137726211.363643,"down",5.35
"601",2019-08-25,10134.61,10333,9906.97,10142.69,26271.657398,265132761.317043,289956,12885.717735,130202473.090273,"up",4.3
"602",2019-08-26,10142.69,10604,10137.93,10372.25,41687.511599,432249835.490697,405316,22666.595452,235202578.436012,"up",4.6
"603",2019-08-27,10373.6,10391.08,10051.08,10185.05,28402.775383,289340681.078952,292888,13852.442138,141207845.029193,"down",3.38
"604",2019-08-28,10185.69,10299,9601.01,9721,42110.555375,420034883.003153,381293,19430.822573,194055407.180034,"down",7.27
"605",2019-08-29,9721,9724,9320,9498.44,35532.69491,337838761.557287,343887,17536.268448,166811264.082551,"down",4.33
"606",2019-08-30,9499.01,9696,9350.41,9584.54,26834.318104,255854874.450775,259270,14227.872851,135696420.419835,"up",3.7
"607",2019-08-31,9582.76,9684.51,9420.75,9587.47,17130.290074,164116756.462997,199188,8558.148214,82010834.3387509,"up",2.8
"608",2019-09-01,9588.74,9830,9520,9724.98,19545.404843,188513289.122357,191324,11545.610598,111464034.381124,"up",3.26
"609",2019-09-02,9723.59,10450,9712.5,10340,44740.248093,448462178.630381,354155,25140.296125,251933840.307948,"up",7.59
"610",2019-09-03,10340,10773,10272,10615.28,47998.376781,505617667.399267,416076,24734.303264,260488377.888127,"up",4.88
"611",2019-09-04,10611.85,10799,10369.89,10567.02,43943.889026,463526509.325937,383457,22244.067656,234731325.602041,"down",4.14
"612",2019-09-05,10565.92,10900,10450,10564.49,33970.960639,358861340.78979,309846,16535.147807,174901090.473375,"down",4.31
"613",2019-09-06,10563.13,10905.87,10150,10298.73,58799.640959,623662984.384331,455334,29952.944427,318275724.072774,"down",7.45
"614",2019-09-07,10298.71,10558,10288.57,10455.88,27637.877392,287851131.180258,272011,14673.489216,152825898.950802,"up",2.62
"615",2019-09-08,10455.9,10592.5,10208,10381.18,23984.672018,249900964.371531,237752,10588.592458,110370036.725491,"down",3.77
"616",2019-09-09,10381.24,10480,10068.5,10303.12,39835.727608,409724831.947123,330459,18729.472684,192814736.823475,"down",4.09
"617",2019-09-10,10302.58,10384.99,9953,10098.15,28915.412225,294323839.507008,286763,13432.256822,136876441.423216,"down",4.34
"618",2019-09-11,10098.19,10293,9880,10158.33,31953.824562,321637085.476509,309120,16583.813097,167086058.187805,"up",4.18
"619",2019-09-12,10158.75,10448.81,10040,10415.01,34511.162755,353390090.967777,317881,18550.853202,190066356.887017,"up",4.07
"620",2019-09-13,10415.01,10439,10153,10342.06,30280.339776,311632094.256189,304947,16763.854663,172561765.653066,"down",2.82
"621",2019-09-14,10344.13,10419.99,10222.33,10335.02,23621.533519,244063007.090225,253929,13495.986691,139491411.265729,"down",1.93
"622",2019-09-15,10332.81,10360,10252.15,10302.01,18047.654013,185853330.437043,194733,8221.803055,84690636.8855592,"down",1.05
"623",2019-09-16,10303.34,10355,10078,10251.31,28971.401657,296325130.170901,274368,13385.302253,137008707.886645,"down",2.75
"624",2019-09-17,10249.68,10275,10128.01,10187.82,22914.324563,233944812.560508,287483,11195.430673,114314296.205725,"down",1.45
"625",2019-09-18,10187.48,10258.02,10100,10156.99,24250.249303,247024351.597992,299466,11753.109111,119777298.859241,"down",1.56
"626",2019-09-19,10156.41,10325,9653,10244.29,44826.282579,447676492.984026,429727,22623.287763,226404409.682367,"up",6.96
"627",2019-09-20,10243.7,10281,10061.39,10168.59,25088.491069,255205290.211837,267032,12054.384888,122687240.605189,"down",2.18
